iter	Passed	Remaining
0	6	614951
1	11	570437
2	16	534841
3	21	528660
4	26	522824
5	31	523245
6	36	519363
7	41	514270
8	46	511957
9	51	515357
10	57	520431
11	63	525594
12	69	538208
13	75	541871
14	82	550846
15	88	554518
16	95	558914
17	100	559469
18	106	561139
19	112	561888
20	118	565884
21	124	567067
22	129	564989
23	135	563673
24	140	562975
25	145	560154
26	150	557536
27	155	555887
28	160	554020
29	165	551576
30	170	549525
31	175	547387
32	180	545595
33	185	544748
34	190	542973
35	194	541012
36	199	539423
37	204	537424
38	208	535330
39	213	533739
40	218	532139
41	223	531279
42	228	530031
43	233	529683
44	237	528324
45	242	527349
46	247	526158
47	252	525320
48	257	524450
49	261	523540
50	266	522536
51	271	521556
52	276	520996
53	281	520339
54	285	519369
55	290	519003
56	295	517986
57	300	516989
58	305	517059
59	309	516035
60	314	515573
61	319	515376
62	324	514866
63	329	514183
64	333	513455
65	338	512717
66	343	512078
67	347	511388
68	352	510766
69	357	510137
70	361	509481
71	366	508899
72	371	508227
73	376	508121
74	380	507457
75	385	507269
76	390	506555
77	395	506466
78	399	505855
79	404	505385
80	409	504856
81	414	504940
82	419	504461
83	423	504219
84	428	503722
85	433	503852
86	438	503204
87	442	502600
88	447	502159
89	452	501795
90	456	501318
91	461	500813
92	465	500501
93	470	500056
94	475	499679
95	479	499465
96	484	498958
97	489	498689
98	493	498275
99	498	497860
100	502	497454
101	507	496979
102	512	496829
103	517	496892
104	522	496712
105	526	496560
106	531	496138
107	536	495840
108	540	495463
109	545	495340
110	549	494922
111	554	494530
112	559	494165
113	563	494159
114	568	493856
115	573	493594
116	577	493280
117	582	493098
118	587	492728
119	591	492396
120	596	492145
121	600	491891
122	605	491705
123	610	491738
124	615	491504
125	619	491252
126	624	491010
127	629	490789
128	633	490754
129	638	490539
130	643	490566
131	647	490232
132	652	489934
133	656	489622
134	661	489439
135	666	489196
136	670	488995
137	675	488724
138	680	488578
139	684	488343
140	689	488092
141	693	487858
142	698	487655
143	702	487443
144	707	487284
145	712	487063
146	716	487005
147	721	486660
148	726	486559
149	730	486370
150	735	486349
151	740	486162
152	744	486039
153	749	485915
154	754	485844
155	758	485709
156	763	485681
157	768	485471
158	772	485223
159	777	485338
160	782	485191
161	786	484962
162	791	485084
163	796	484873
164	801	484694
165	805	484510
166	810	484315
167	814	484152
168	819	483931
169	823	483826
170	828	483564
171	833	483505
172	837	483289
173	842	483268
174	847	483317
175	851	483151
176	856	483009
177	861	483357
178	866	483278
179	871	483199
180	875	483003
181	880	482941
182	885	482792
183	889	482734
184	894	482522
185	898	482354
186	903	482164
187	907	482066
188	912	481880
189	917	481735
190	918	480205
191	921	478966
192	923	477444
193	925	476380
194	930	476179
195	934	476051
196	936	474541
197	941	474362
198	945	474196
199	949	474049
200	954	474035
201	959	473829
202	963	473754
203	968	473646
204	970	472581
205	975	472534
206	979	472369
207	984	472241
208	986	470872
209	990	470692
210	995	470663
211	997	469679
212	1000	468713
213	1002	467551
214	1007	467371
215	1009	466396
216	1014	466301
217	1018	466218
218	1023	466258
219	1027	466149
220	1033	466407
221	1037	466331
222	1042	466343
223	1047	466401
224	1052	466506
225	1057	466807
226	1062	467199
227	1064	465780
228	1069	465949
229	1074	466282
230	1079	466260
231	1084	466202
232	1089	466364
233	1091	465206
234	1092	463740
235	1094	462798
236	1099	462720
237	1100	461362
238	1101	459970
239	1106	459914
240	1110	459877
241	1115	459742
242	1117	458902
243	1120	458010
244	1124	457917
245	1128	457769
246	1133	457743
247	1137	457722
248	1139	456608
249	1144	456509
250	1148	456420
251	1153	456393
252	1157	456355
253	1160	455629
254	1164	455507
255	1167	454727
256	1169	453962
257	1174	453870
258	1176	453134
259	1179	452344
260	1181	451522
261	1185	451400
262	1188	450686
263	1192	450646
264	1197	450586
265	1201	450505
266	1206	450502
267	1210	450427
268	1212	449658
269	1217	449718
270	1220	448970
271	1221	447811
272	1223	447070
273	1225	446093
274	1230	446051
275	1232	445338
276	1234	444403
277	1238	444343
278	1240	443399
279	1242	442616
280	1248	442936
281	1252	443031
282	1257	443195
283	1263	443528
284	1266	443029
285	1269	442481
286	1273	442555
287	1275	441712
288	1279	441353
289	1284	441568
290	1286	440720
291	1290	440815
292	1295	440986
293	1298	440210
294	1302	440284
295	1307	440445
296	1310	439971
297	1315	440190
298	1320	440247
299	1323	439685
300	1325	439116
301	1330	439274
