iter	RMSE
0	16.28569579
1	15.66977163
2	15.06246569
3	14.4927023
4	13.94698687
5	13.41432224
6	12.90376505
7	12.42040216
8	11.95204772
9	11.50659201
10	11.06927923
11	10.65901878
12	10.25980455
13	9.872531281
14	9.503529937
15	9.150803234
16	8.809114476
17	8.478301053
18	8.168078934
19	7.867378572
20	7.579850225
21	7.308978047
22	7.048302265
23	6.791917857
24	6.55384496
25	6.32314116
26	6.101698464
27	5.881979441
28	5.677991755
29	5.479580361
30	5.295078695
31	5.113430119
32	4.93580315
33	4.766572054
34	4.609909926
35	4.461282617
36	4.32095793
37	4.178371511
38	4.047448617
39	3.917746985
40	3.792209039
41	3.68118454
42	3.570542982
43	3.465658462
44	3.362172532
45	3.266865955
46	3.173664133
47	3.083950805
48	2.9996715
49	2.923366033
50	2.847775212
51	2.77875167
52	2.713842674
53	2.653617667
54	2.594414709
55	2.53677061
56	2.478208352
57	2.421779056
58	2.36847376
59	2.32412416
60	2.280509284
61	2.242258559
62	2.202839161
63	2.167307446
64	2.128535238
65	2.091461266
66	2.057316528
67	2.02499633
68	1.996587469
69	1.972150046
70	1.94481636
71	1.918451779
72	1.894167149
73	1.871426904
74	1.849807991
75	1.829560717
76	1.811142335
77	1.794024803
78	1.777041876
79	1.76237295
80	1.7476595
81	1.733942624
82	1.721346244
83	1.710431462
84	1.699195597
85	1.688517239
86	1.678946251
87	1.6693322
88	1.660513531
89	1.652073329
90	1.642849569
91	1.635367454
92	1.628381529
93	1.622550682
94	1.616799615
95	1.610219096
96	1.605277965
97	1.59997658
98	1.596185002
99	1.591944872
100	1.588044188
101	1.584298549
102	1.580799339
103	1.577238505
104	1.573971968
105	1.571351543
106	1.568665461
107	1.566116437
108	1.56382007
109	1.561755097
110	1.559659168
111	1.557618044
112	1.555571147
113	1.553562776
114	1.552028999
115	1.550625486
116	1.549124127
117	1.547857073
118	1.545798107
119	1.544411585
120	1.543025313
121	1.541829954
122	1.540634023
123	1.539663211
124	1.538748594
125	1.53784078
126	1.53698933
127	1.536025411
128	1.534516331
129	1.533752767
130	1.532873015
131	1.532186381
132	1.531597975
133	1.531030234
134	1.530523845
135	1.529458418
136	1.528717014
137	1.527480012
138	1.526134678
139	1.525351192
140	1.524987544
141	1.524610515
142	1.52436025
143	1.523977491
144	1.5234156
145	1.523093847
146	1.522024156
147	1.521765557
148	1.521197043
149	1.519976055
150	1.519581515
151	1.519277809
152	1.519007813
153	1.518740157
154	1.518321344
155	1.518127927
156	1.517950104
157	1.517487986
158	1.517343276
159	1.517215011
160	1.517093077
161	1.516995475
162	1.516844724
163	1.516712068
164	1.516562452
165	1.516420251
166	1.516257561
167	1.515961211
168	1.515859237
169	1.515787743
170	1.51526966
171	1.515197973
172	1.514865815
173	1.5147642
174	1.514643074
175	1.514539968
176	1.514461864
177	1.514402502
178	1.514076168
179	1.514017203
180	1.513955221
181	1.513700619
182	1.513646797
183	1.513566494
184	1.513314636
185	1.513055731
186	1.512961332
187	1.512913542
188	1.512699127
189	1.512665264
190	1.51264306
191	1.512602391
192	1.512594843
193	1.512474665
194	1.512236213
195	1.512005784
196	1.511991186
197	1.511948416
198	1.511753918
199	1.511691051
200	1.511666298
201	1.511626964
202	1.511614725
203	1.511585005
204	1.511555515
205	1.511521584
206	1.511495787
207	1.511447638
208	1.511441069
209	1.511415673
210	1.511370461
211	1.511347148
212	1.511332189
213	1.511327497
214	1.511289884
215	1.511275059
216	1.511259076
217	1.511245982
218	1.5111955
219	1.511177835
220	1.511160256
221	1.511106226
222	1.511078693
223	1.511067007
224	1.511058801
225	1.511043162
226	1.511029796
227	1.511027571
228	1.511017891
229	1.510991266
230	1.510978232
231	1.510951496
232	1.510943036
233	1.510926592
234	1.510924808
235	1.51087915
236	1.510847631
237	1.510845527
238	1.510843555
239	1.510816445
240	1.510809034
241	1.510755945
242	1.510736648
243	1.510725303
244	1.510713375
245	1.510691915
246	1.510663209
247	1.510621431
248	1.510604997
249	1.510581038
250	1.510524927
251	1.510505526
252	1.510483974
253	1.510478387
254	1.510455521
255	1.510436622
256	1.510404194
257	1.510397778
258	1.510392351
259	1.510374285
260	1.510354237
261	1.510334025
262	1.51031993
263	1.510299296
264	1.510282642
265	1.510265176
266	1.510245056
267	1.510208161
268	1.510192961
269	1.510176837
270	1.510161643
271	1.510161577
272	1.51015746
273	1.510139683
274	1.510120809
275	1.510109306
276	1.510095928
277	1.510090154
278	1.510086213
279	1.510082352
280	1.510063798
281	1.510045199
282	1.510039763
283	1.50981195
284	1.50980737
285	1.509802887
286	1.509784843
287	1.509771499
288	1.50976681
289	1.509759035
290	1.509745956
291	1.509692131
292	1.509686431
293	1.50967357
294	1.509655335
295	1.50965072
296	1.509646214
297	1.509633153
298	1.509616791
299	1.509613315
300	1.509609514
301	1.509582184
